date,game,series-game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video
2014-10-3,"DET @ BAL, G2",B3,UMPIRE,Markakis,Home Run,Potential HR,Schrieber,Kellogg,Confirmed,2:37,http://t.co/9olYuTwGJa
2014-10-3,"SF @ WSH, G1",T3,Bochy,Ishikawa,Out at 2nd,Force play,Hallion,Winters,Overturned,0:57,http://t.co/aj94CKZwPo
2014-10-4,"SF @ WSH, G2",T9,Bochy,Posey,Out at home,Tag play,Carapazza,Winters,Stands,2:34,http://t.co/gglE6P7zqM
2014-10-4,"STL @ LAD, G2",B3,Mattingly,Greinke,Out between 1st-2nd,Tag play,Cooper,Scott,Overturned,0:53,http://t.co/MG9feqKDtp
2014-10-5,"BAL @ DET, G3",B2,Ausmus,An. Romine,Out at 1st,Force play,Wolf,Kellogg,Stands,2:26,http://t.co/CFyx26RjM1
2014-10-7,"LAD @ STL, G4",T6,Matheny,Ethier,Safe at 3rd,Tag play,Meals,Scott,Overturned,1:47,http://t.co/n4KwD5nZSP
2014-10-7,"WSH @ SF, G4",B7,UMPIRE,Posey,7.13/Out at home,7.13,Wendelstedt,Winters,Confirmed,1:52,http://t.co/RVgjJIDg6D
2014-10-11,"SF @ STL, G1",B7,Matheny,Wong,Out at 1st,Tag play,B. Welke,Davis,Confirmed,0:54,http://t.co/xjBMTuPuwI
2014-10-15,"STL @ SF, G4",B5,Matheny,Pence,Safe at 2nd,Tag play,Miller,Davis,Confirmed,1:51,http://t.co/3t1weJfywm
2014-10-25,"KC @ SF, G4",B6,Yost,Arias,Safe at 2nd,Tag play,Kellogg,Kellogg,Confirmed,1:53,http://t.co/Q1EqYPJYFY
2014-10-29,"SF @ KC, G7",B3,Bochy,Hosmer,Safe at 1st,Force play,Cooper,Kellogg,Overturned,2:54,http://t.co/NQAgfcQh8H
