date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video
2015-04-6,BAL @ TB,B5,Cash,Loney,Out at home,Collisions at HP,DeMuth,DeMuth,Confirmed,1:41,http://t.co/L5BWj3qvqH
2015-04-6,BAL @ TB,T8,Showalter,Pearce,Out at home,Tag Play,DeMuth,DeMuth,Overturned,2:32,http://t.co/csSSchgA55
2015-04-6,SD @ LAD,B8,Black,Puig,Safe at 2nd,Tag Play,DiMuro,Gorman,Overturned,0:57,http://atmlb.com/1FoayzO
2015-04-6,TEX @ OAK,B5,Melvin,Fuld,Out at 2nd,Force Play,Wolf,Miller,Overturned,1:42,http://atmlb.com/1Cn7E8l
2015-04-6,SF @ ARI,B8,Hale,D. Peralta,Foul Tip/No HBP,HBP,Cederstrom,Cederstrom,Stands,2:09,http://atmlb.com/1IwTbxC
2015-04-8,STL @ CHI,B8,Maddon,Szczur,Out at 1st,Force Play,Foster,Winters,Confirmed,0:51,http://atmlb.com/1Cnp3h5
2015-04-8,BAL @ TB,B1,Showalter,Jennings,Safe at 1st,Force Play,Estabrook,DeMuth,Overturned,1:26,http://t.co/wkexM7tuMm
2015-04-8,BAL @ TB,B4,Cash,Forsythe,Out at 1st,Force Play,Estabrook,DeMuth,Stands,2:06,http://t.co/b07gi5d1Fz
2015-04-8,BAL @ TB,B7,UMPIRE,Souza,Out at 2nd,Tag Play,DeMuth,DeMuth,Confirmed,0:56,http://t.co/AOTODLjbZ7
2015-04-8,ATL @ MIA,T9,Gonzalez,Ozuna,Catch,Catch/no catch,Diaz,Nelson,Confirmed,1:03,http://t.co/wgA18EmSh2
2015-04-8,SD @ LAD,B2,Mattingly,Rollins,Out at 1st,Force Play,T. Gibson,Gorman,Overturned,1:37,http://t.co/7vLnhrkXtX
2015-04-8,TEX @ OAK,B3,UMPIRE,Canha,Double,Potential HR,Hamari,Miller,Confirmed,1:32,http://t.co/8oi6KmqlUF
2015-04-8,TEX @ OAK,B5,Banister,Ladendorf,Safe at 1st,Force Play,Hamari,Miller,Stands,1:45,http://t.co/Z1jLKlkeNB
2015-04-9,TEX @ OAK,T1,Melvin,Rua,Safe at 2nd,Force Play,Eddings,Miller,Overturned,2:53,http://t.co/swCIjcVxJc
2015-04-9,CLE @ HOU,B6,Hinch,C. Carter,Out at 1st,Force Play,Conroy,T. Barrett,Stands,3:11,http://t.co/K1OlJeg0po
2015-04-9,MIN @ DET,B2,Molitor,Gose,Safe at 1st,Tag Play,Reyburn,West,Stands,2:13,http://t.co/pCjNKtAUKv
2015-04-9,SF @ SD,B3,Black,Despaigne,Out at 1st,Force Play,Gorman,Gorman,Confirmed,2:10,http://t.co/ZHr4co0hOM
2015-04-9,SF @ SD,T8,UMPIRE,Duffy,Safe at 2nd,Tag Play,Carlson,Gorman,Confirmed,1:25,http://t.co/60VTHxBFuU
2015-04-10,HOU @ TEX,T9,Banister,Marisnick,Safe at 1st,Force Play,Nelson,Nelson,Confirmed,1:08,http://t.co/jJuokMxxNb
2015-04-10,DET @ CLE,B8,UMPIRE,C. Santana,Double,Potential HR,Iassogna,Scott,Overturned,2:36,http://atmlb.com/1yk4OV9
2015-04-10,BOS @ NYY,B8,Girardi,Gardner,Out at 2nd,Tag Play,Winters,Winters,Confirmed,1:14,http://t.co/6oGUt7IZTv
