date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video,
2016-04-3,STL @ PIT,B1,Matheny,McCutchen,Hit by Pitch,HBP,Layne,Layne,Stands,1:27,https://t.co/WkY4X17aZl,
2016-04-3,STL @ PIT,B2,UMPIRE,Mercer,N/A,Rules Check,N/A,Layne,Rules Check,0:45,https://t.co/8p8BFnT6jg,
2016-04-3,STL @ PIT,B6,Hurdle,Polanco,Out at 2nd,Tag Play,T. Gibson,Layne,Confirmed,1:35,https://t.co/67INFmidqe,
2016-04-3,TOR @ TB,B2,Gibbons,Kiermaier,Safe at 1st,Force Play,Emmel,Everitt,Overturned,1:14,https://t.co/xieHxBCXPA,
2016-04-3,NYM @ KC,B5,Collins,Infante,Safe at 3rd,Tag Play,Torres,Davis,Stands,1:52,https://t.co/Wkjk9pjL03,
2016-04-4,TOR @ TB,T3,UMPIRE,Thole,Fan Interference/Double,Potential HR,Diaz,Everitt,Overturned,1:28,https://t.co/InvxLgohcs,
2016-04-4,TOR @ TB,T4,Cash,Souza,No catch,Catch/no catch,Timmons,Everitt,Overturned,5:00,https://t.co/U9RgsmmMc3,
2016-04-4,COL @ ARI,T2,Hale,Reynolds,Safe at 2nd,Force Play,Porter,Kellogg,Overturned,0:57,https://t.co/h7NKcPpDba,
2016-04-4,COL @ ARI,B5,Weiss,Owings,Safe at 1st,Force Play,O'Nora,Kellogg,Stands,1:56,https://t.co/YD8lpfp0xc,
2016-04-4,CWS @ OAK,T9,Ventura,Lawrie,Out at 2nd,Tag Play,Bellino,Hallion,Confirmed,1:14,https://t.co/N6HTyNvVVY,
2016-04-5,HOU @ NYY,T8,Hinch,Correa,Out at 2nd,Tag Play,Hickox,DeMuth,Overturned,1:58,https://t.co/wf1eDNt7Vw,
2016-04-5,TOR @ TB,T6,Cash,Saunders,Safe at 1st,Force Play,Diaz,Everitt,Overturned,1:06,https://t.co/L6r75KQTGn,
2016-04-5,TOR @ TB,T9,Cash,Bautista,Out at 2nd/No Violation,Slide Rule,Everitt,Everitt,Overturned,1:41,https://t.co/gZO9nEcqxb,
