date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video
2014-04-31,CHI @ PIT,T5,Renteria,Samardzija,Force out at 1st,Force play,Davidson,Hirschbeck,Confirmed,1:39,http://t.co/GDFTsGNzzd
2014-04-31,ATL @ MIL,B6,Gonzalez,Braun,Safe at 1st,Force play,G. Gibson,T. Barrett,Overturned,1:05,http://t.co/a2pGVererL
2014-04-31,CHI @ PIT,T10,Hurdle,Bonifacio,Safe at 1st,Tag play,Davidson,Hirschbeck,Overturned,1:46,http://t.co/3HSxWJ0xXP
2014-04-31,WSH @ NYM,T10,Williams,Espinosa,Out at 1st,Tag play,Fagan,T. Welke,Confirmed,1:44,http://t.co/TpD6sl39dx
2014-04-31,CLE @ OAK,T6,UMPIRE,Brantley,7.13/Out at home,7.13,Winters,Winters,Confirmed,1:06,http://t.co/TFsKjVcbP2
2014-04-1,TOR @ TB,T7,UMPIRE,Rasmus,Foul Ball,Potential HR,Wolf,Gorman,Stands,3:36,http://atmlb.com/1eFIBaB
2014-04-1,PHI @ TEX,T6,Washington,Revere,Safe at 2nd,Tag play,Blaser,Joyce,Overturned,2:18,http://t.co/P3PHP138Zy
2014-04-1,TOR @ TB,T9,Gibbons,Me. Cabrera,Out at 1st,Force play,Wolf,Gorman,Confirmed,1:20,http://t.co/20MYY5iFIo
2014-04-1,SF @ ARI,B4,Bochy,Pollock,Safe at 1st,Tag play,Guccione,Hallion,Stands,3:19,http://t.co/lZ9Fhb78MC
2014-04-2,KC @ DET,B6,Ausmus,Ty. Collins,Out at first,Force play,Conroy,Meals,Overturned,2:45,http://t.co/u9YOeIKzyF
2014-04-2,KC @ DET,T10,Ausmus,Aoki,Safe at first,Force play,Conroy,Meals,Overturned,1:11,http://t.co/hhl9WIMMEX
2014-04-2,CLE @ OAK,B2,Melvin,Norris,Out at home,Tag play,Wegner,Winters,Stands,4:45,http://t.co/eMM3Vl3921
2014-04-2,MIN @ CWS,T7,Gardenhire,Eaton,Catch,Catch/no catch,Scott,Scott,Overturned,4:40,http://t.co/ot69wC1TaU
2014-04-2,COL @ MIA,T4,Redmond,Pacheco,Safe at 2nd,Force play,Layne,Layne,Stands,2:50,http://t.co/kgC3D4r6bU
2014-04-2,CHI @ PIT,T8,Renteria,Mercer,Out at 2nd,Force play,Tumpane,Hirschbeck,Overturned,2:27,http://t.co/aRH6fA6yEr
2014-04-2,CHI @ PIT,B8,Hurdle,S. Marte,Foul Ball,HBP,Davidson,Hirschbeck,Stands,4:35,http://t.co/0RFUbDVTOZ
2014-04-2,CLE @ OAK,T6,Francona,Aviles,Out at 2nd,Tag play,Morales,Winters,Overturned,1:22,http://t.co/WfdTCN1dfJ
2014-04-2,CHI @ PIT,B13,Renteria,Alvarez,Safe at 3rd,Force play,Hirschbeck,Hirschbeck,Stands,1:47,http://t.co/67m6fpoNW0
2014-04-3,COL @ MIA,B3,Weiss,Ozuna,Safe at 1st,Force play,Layne,Layne,Stands,2:35,http://t.co/NNfaXxwzjP
2014-04-3,COL @ MIA,B8,UMPIRE,Yelich,Safe at 2nd,Tag play,Wendelstedt,Layne,Confirmed,1:25,http://t.co/KCkxX991dP
2014-04-3,STL @ CIN,T7,UMPIRE,Holliday,Single,Potential HR,Ripperger,Cederstrom,Confirmed,2:08,http://t.co/MZezBg5Z3E
2014-04-3,NYY @ HOU,T9,UMPIRE,Solarte,Count Check,Record Keeping,Brian Knight,Davis,Record Keeping,2:20,http://t.co/HJtnDdMquO
2014-04-3,SEA @ OAK,B5,UMPIRE,Fuld,7.13/Out at home,7.13,Barber,Culbreth,Confirmed,4:15,http://t.co/CpnDpdbc7b
2014-04-3,SEA @ OAK,B12,UMPIRE,Crisp,Home Run,Potential HR,Culbreth,Culbreth,Confirmed,0:45,http://atmlb.com/1mPZxxq
2014-04-4,ATL @ WSH,B5,Gonzalez,Desmond,Live ball,Boundary call,Hudson,Joyce,Overturned,2:50,http://t.co/fiCzRG8sSu
2014-04-4,BAL @ DET,T5,Ausmus,An. Romine,No catch (safe at 2nd),Catch/no catch,Danley,Cederstrom,Confirmed,1:30,http://t.co/hCSZXrlteC
2014-04-4,CWS @ KC,T7,Yost,Abreu,Safe at 1st,Force play,T. Barrett,T. Barrett,Stands,2:49,http://t.co/RjrDYuQdY1
2014-04-4,SF @ LAD,B7,Bochy,H. Ramirez,Safe at 2nd,Tag play,Foster,West,Overturned,1:16,http://t.co/A68KjNWhVx
2014-04-4,NYY @ TOR,T3,Girardi,I. Suzuki,Out at 1st,Force play,DeMuth,DeMuth,Overturned,1:20,http://t.co/fio7N0JCIz
2014-04-4,TEX @ TB,T7,Maddon,Myers,Trap play,Catch/no catch,Wendelstedt,Layne,Overturned,1:45,http://t.co/KLPp4H18Yd
2014-04-4,NYY @ TOR,T8,Girardi,Ellsbury,Out at 1st,Force play,DeMuth,DeMuth,Confirmed,1:20,http://t.co/CkiUeq0zyX
2014-04-5,NYY @ TOR,T3,UMPIRE,Cervelli,7.13/Out at home,7.13,DeMuth,DeMuth,Confirmed,1:47,http://t.co/AZHqxU7Wr5
2014-04-5,CIN @ NYM,B9,Collins,Lagares,Out at 2nd,Force play,Hoye,Hirschbeck,Overturned,2:17,http://t.co/1XRJQV22zr
2014-04-5,SF @ LAD,B7,Mattingly,Ellis,Out at home,Tag play,West,West,Stands,1:40,http://t.co/P42xZTulBy
2014-04-5,TEX @ TB,T2,Maddon,Chirinos,Safe at 1st,Force play,DiMuro,Layne,Overturned,1:35,http://t.co/IaK99Fc6IG
2014-04-6,ATL @ WSH,B1,Williams,Desmond,Out at 1st,Force play,Hudson,Joyce,Stands,1:35,http://t.co/IIqEPnmlq2
2014-04-6,MIL @ BOS,B2,Farrell,Bradley,Out at 1st,Force play,Timmons,T. Welke,Confirmed,1:40,http://t.co/Pd9ahXqjXe
2014-04-6,NYY @ TOR,T6,Gibbons,I. Suzuki,Safe at 2nd,Tag play,L. Barrett,DeMuth,Stands,2:20,http://t.co/yBwK6kobBQ
2014-04-6,CWS @ KC,T6,Yost,Semien,Safe at 1st,Force play,Schrieber,T. Barrett,Overturned,1:08,http://t.co/p5QAGraDmQ
2014-04-6,CWS @ KC,B6,Ventura,Hosmer,Safe at 1st,Force play,Schrieber,T. Barrett,Stands,1:47,http://t.co/hx9E8FzQu0
2014-04-6,PHI @ CHI,T5,Sandberg,Utley,Out at 1st,Force play,Bucknor,Scott,Stands,2:00,http://t.co/A6XqZscAT5
2014-04-6,ARI @ COL,B1,Weiss,Blackmon,Out at 1st,Force play,Muchlinski,Winters,Overturned,2:14,http://t.co/pRKVuXsGqO
2014-04-6,MIN @ CLE,T9,Francona,Plouffe,Safe at home,Touching base,Meals,Meals,Confirmed,1:22,http://t.co/srBoj6MT8f
2014-04-6,SEA @ OAK,B4,Melvin,Fuld,Out at 1st,Tag play,Reynolds,Culbreth,Confirmed,2:00,http://t.co/4tuee6MWVn
2014-04-7,OAK @ MIN,T3,UMPIRE,Lowrie,Foul Ball,Potential HR,Carapazza,Miller,Stands,4:10,http://t.co/oV27AyDJKd
2014-04-7,TEX @ BOS,B1,Washington,Andrus,Safe at 2nd,Force play,Baker,Meals,Stands,1:50,http://t.co/r0OT73A1ZF
2014-04-7,TB @ KC,T8,Maddon,Myers,Out at 1st,Force play,Wolcott,Davis,Confirmed,1:05,http://atmlb.com/1iBA0kK
