date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video,
2017-04-2,NYY @ TB,T1,Girardi,M. Holliday,Out at 1st,Force Play,Hudson,Layne,Stands,1:21,https://t.co/ZstW8yaPN6,
2017-04-2,NYY @ TB,T2,Cash,S. Castro,Safe at 1st,Force Play,Hudson,Layne,Stands,1:32,https://t.co/3p2Yx6L1wj,
2017-04-2,SF @ ARI,T6,Lovullo,E. Nunez,Safe at 3rd,Tag Play,Reyburn,G. Gibson,Overturned,2:03,https://t.co/ei5pT7NHEg,
2017-04-2,SF @ ARI,T7,Bochy,D. Span,Out at 1st,Tag Play,Timmons,G. Gibson,Stands,1:27,https://t.co/gQzcvaOjxo,
2017-04-2,CHI @ STl,B7,Matheny,D. Fowler,Out at 2nd,Force Play,Wolcott,Emmel,Stands,1:39,https://t.co/RWBqYcgSGY,
2017-04-3,ATL @ NYM,B7,Collins,W. Flores,Out at home,Tag Play,Kellogg,Kellogg,Overturned,1:29,https://t.co/mO1KLyFuhE,
2017-04-3,SD @ LAD,B4,Green,J. Turner,Fair ball/2B,Fair/Foul,Rackley,Vanover,Stands,1:55,http://atmlb.com/2ozVn3X,
2017-04-3,COL @ MIL,B9,Counsell,R. Braun,Out at 1st,Force Play,Wendeltstedt,West,Confirmed,0:44,https://t.co/bdDmJxezBW,
2017-04-3,KC @ MIN,B7,Molitor,M. Kepler,Out at 1st,Force Play,Randazzo,Davis,Overturned,0:50,http://atmlb.com/2o6MrCC,
2017-04-3,CLE @ TEX,B1,Banister,C. Gomez,Out at 2nd,Tag Play,Foster,Winters,Stands,1:37,http://atmlb.com/2ozL14a,
2017-04-4,DET @ CWS,T9,Renteria,I. Kinsler,Safe at 2nd,Tag Play,DiMuro,Gorman,Overturned,1:04,https://t.co/Va4WpvsiJc,
2017-04-4,NYY @ TB,B3,Girardi,Dan. Robertson,Safe at 1st,Force Play,Bellino,Layne,Overturned,1:50,https://t.co/k2GvJGzg60,
2017-04-4,CLE @ TEX,T1,Banister,F. Lindor,Safe at 2nd,Tag Play,Muchlinski,Winters,Overturned,1:43,https://t.co/iqqnUKjcwz,
2017-04-4,SEA @ HOU,B1,Servais,J. Altuve,Safe at 1st,Force Play,Eddings,Nelson,Overturned,2:16,https://t.co/H40UfO7rC0,
2017-04-4,CLE @ TEX,T9,UMPIRE,Y. Gomes,Foul Ball,Potential HR,Winters,Winters,Confirmed,0:32,https://t.co/HbMbCHuzCo,
2017-04-4,CHI @ STl,B9,Matheny,K. Wong,Out at 1st,Force Play,Wolcott,Emmel,Confirmed,1:34,https://t.co/DHNO7Is3WK,
